         101
   i                      x                      y
 --------------------------------------------------
   1           0.0000000000           0.0000000000
   2           0.0002877949          -0.8394695026
   3           0.0006075889          -1.7716463397
   4           0.0009628996          -2.8066983100
   5           0.0013577051          -3.9558917666
   6           0.0017963674          -5.2317063585
   7           0.0022837752          -6.6479608064
   8           0.0028252968          -8.2199505327
   9           0.0034270195          -9.9645979680
  10           0.0040956055         -11.9006163269
  11           0.0048384842         -14.0486875939
  12           0.0056638997         -16.4316553611
  13           0.0065810067         -19.0747330142
  14           0.0076000624         -22.0057275449
  15           0.0087322826         -25.2552789674
  16           0.0099903689         -28.8571148981
  17           0.0113882213         -32.8483193012
  18           0.0129413694         -37.2696136609
  19           0.0146671161         -42.1656478729
  20           0.0165845858         -47.5852968852
  21           0.0187151556         -53.5819574950
  22           0.0210824074         -60.2138376247
  23           0.0237127032         -67.5442277397
  24           0.0266352328         -75.6417406981
  25           0.0298824933         -84.5805020442
  26           0.0334905764         -94.4402673637
  27           0.0374996003        -105.3064365289
  28           0.0419539967        -117.2699261323
  29           0.0469033740        -130.4268507141
  30           0.0524026608        -144.8779500151
  31           0.0585129687        -160.7276827674
  32           0.0653022158        -178.0828866808
  33           0.0728458450        -197.0508782856
  34           0.0812276392        -217.7368339278
  35           0.0905406800        -240.2402529483
  36           0.1008885696        -264.6502540388
  37           0.1123862461        -291.0393936047
  38           0.1251614208        -319.4556178185
  39           0.1393560648        -349.9118643303
  40           0.1551278461        -382.3727109270
  41           0.1726520956        -416.7373213418
  42           0.1921234838        -452.8177561963
  43           0.2137583463        -490.3114913815
  44           0.2377970559        -528.7667067959
  45           0.2645067784        -567.5385625608
  46           0.2941842292        -605.7342519545
  47           0.3271591718        -642.1440909916
  48           0.3637980010        -675.1552498964
  49           0.4045078286        -702.6439221585
  50           0.4497409649        -721.8407259175
  51           0.5000000000        -729.1628950652
  52           0.5502590351        -721.7402078468
  53           0.5954921714        -702.4529378266
  54           0.6362019990        -674.8828459316
  55           0.6728408282        -641.7984093590
  56           0.7058157708        -605.3226204227
  57           0.7354932216        -567.0675761213
  58           0.7622029441        -528.2423009409
  59           0.7862416537        -489.7390080538
  60           0.8078765162        -452.2020031444
  61           0.8273479044        -416.0826255390
  62           0.8448721539        -381.6829666494
  63           0.8606439352        -349.1905764262
  64           0.8748385792        -318.7059406513
  65           0.8876137539        -290.2641661014
  66           0.8991114304        -263.8520312336
  67           0.9094593200        -239.4213343720
  68           0.9187723608        -216.8992891579
  69           0.9271541550        -196.1965699420
  70           0.9346977842        -177.2134911212
  71           0.9414870313        -159.8447087138
  72           0.9475973392        -143.9827553172
  73           0.9530966260        -129.5206574367
  74           0.9580460033        -116.3538341335
  75           0.9625003997        -104.3814356812
  76           0.9665094236         -93.5072485520
  77           0.9701175067         -83.6402670653
  78           0.9733647672         -74.6950111688
  79           0.9762872968         -66.5916531152
  80           0.9789175926         -59.2560024147
  81           0.9812848444         -52.6193877581
  82           0.9834154142         -46.6184660742
  83           0.9853328839         -41.1949820954
  84           0.9870586306         -36.2954964136
  85           0.9886117787         -31.8710957312
  86           0.9900096311         -27.8770956377
  87           0.9912677174         -24.2727435857
  88           0.9923999376         -21.0209276541
  89           0.9934189933         -18.0878950653
  90           0.9943361003         -15.4429831599
  91           0.9951615158         -13.0583645656
  92           0.9959043945         -10.9088075544
  93           0.9965729805          -8.9714520257
  94           0.9971747032          -7.2256011376
  95           0.9977162248          -5.6525283038
  96           0.9982036326          -4.2352990592
  97           0.9986422949          -2.9586071503
  98           0.9990371004          -1.8086241085
  99           0.9993924111          -0.7728615113
 100           0.9997122051           0.1599548897
 101           1.0000000000           1.0000000000
